problemName, vehicleFileID, cutoffTime, problemTypeString, numUAVs, numTrucks, requireTruckAtDepot, requireDriver, Etype, ITER 
20170608T122048564577, 101, 5.000000, mFSTSP Heuristic, 1, -1, True, True, 1, 1 

Objective Function Value: 1473.452895 

Assignments: 
vehicleID, vehicleType, activityType, startTime, startNode, endTime, endNode, Description, Status 
1, Truck, Truck travels with UAV(s) on board, 0.000000, 0, 44.468869, 5, Travel from node 0 to node 5, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 44.468869, 5, 74.468869, 5, Dropping off package to Customer 5, Making Delivery 
1, Truck, Truck travels with UAV(s) on board, 74.468869, 5, 196.991157, 7, Travel from node 5 to node 7, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 196.991157, 7, 256.991157, 7, Launching UAV 2, UAV Launch 
1, Truck, Truck is stationary with UAV(s) on board, 256.991157, 7, 286.991157, 7, Dropping off package to Customer 7, Making Delivery 
1, Truck, Truck travels with no UAVs on board, 286.991157, 7, 564.412519, 6, Travel from node 7 to node 6, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 564.412519, 6, 594.412519, 6, Dropping off package to Customer 6, Making Delivery 
1, Truck, Truck is stationary with no UAVs on board, 594.412519, 6, 624.412519, 6, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck travels with UAV(s) on board, 624.412519, 6, 748.007486, 8, Travel from node 6 to node 8, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 748.007486, 8, 808.007486, 8, Launching UAV 2, UAV Launch 
1, Truck, Truck is stationary with UAV(s) on board, 808.007486, 8, 838.007486, 8, Dropping off package to Customer 8, Making Delivery 
1, Truck, Truck travels with no UAVs on board, 838.007486, 8, 950.549659, 3, Travel from node 8 to node 3, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 950.549659, 3, 980.549659, 3, Dropping off package to Customer 3, Making Delivery 
1, Truck, Truck travels with no UAVs on board, 980.549659, 3, 999.091055, 4, Travel from node 3 to node 4, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 999.091055, 4, 1029.091055, 4, Dropping off package to Customer 4, Making Delivery 
1, Truck, Truck is stationary with no UAVs on board, 1029.091055, 4, 1059.091055, 4, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 1059.091055, 4, 1119.091055, 4, Launching UAV 2, UAV Launch 
1, Truck, Truck travels with no UAVs on board, 1119.091055, 4, 1384.061976, 1, Travel from node 4 to node 1, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 1384.061976, 1, 1414.061976, 1, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 1414.061976, 1, 1444.061976, 1, Dropping off package to Customer 1, Making Delivery 
1, Truck, Truck travels with UAV(s) on board, 1444.061976, 1, 1473.452895, 11, Travel from node 1 to node 11, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 1473.452895, 11, -1.000000, 11, At the Depot.  Total Time = 0:24:33, Vehicle Tasks Complete 
2, UAV, UAV is stationary with a parcel, 196.991157, 7, 256.991157, 7, Prepare to launch from truck, UAV Launch 
2, UAV, UAV taking off or landing with a parcel, 256.991157, 7, 260.686780, 7, Takeoff from truck at Customer 7, Traveling 
2, UAV, UAV travels with parcel, 260.686780, 7, 367.460651, 9, Fly to UAV customer 9, Traveling 
2, UAV, UAV taking off or landing with a parcel, 367.460651, 9, 373.851897, 9, Land at UAV customer 9, Traveling 
2, UAV, UAV is stationary with a parcel, 373.851897, 9, 433.851897, 9, Serving UAV customer 9, Making Delivery 
2, UAV, UAV taking off or landing with no parcels, 433.851897, 9, 437.547521, 9, Takeoff from UAV customer 9, Traveling 
2, UAV, UAV travels empty, 437.547521, 9, 528.696269, 6, Fly to truck at customer 6, Traveling 
2, UAV, UAV is stationary without a parcel, 528.696269, 6, 588.021272, 6, Idle above rendezvous location (customer 6), Idle 
2, UAV, UAV taking off or landing with no parcels, 588.021272, 6, 594.412519, 6, Land at truck rendezvous location (customer 6), Traveling 
2, UAV, UAV is stationary without a parcel, 594.412519, 6, 624.412519, 6, Recovered by truck at customer 6, UAV Recovery 
2, UAV, UAV is stationary with a parcel, 748.007486, 8, 808.007486, 8, Prepare to launch from truck, UAV Launch 
2, UAV, UAV taking off or landing with a parcel, 808.007486, 8, 811.703109, 8, Takeoff from truck at Customer 8, Traveling 
2, UAV, UAV travels with parcel, 811.703109, 8, 888.095093, 10, Fly to UAV customer 10, Traveling 
2, UAV, UAV taking off or landing with a parcel, 888.095093, 10, 894.486339, 10, Land at UAV customer 10, Traveling 
2, UAV, UAV is stationary with a parcel, 894.486339, 10, 954.486339, 10, Serving UAV customer 10, Making Delivery 
2, UAV, UAV taking off or landing with no parcels, 954.486339, 10, 958.181963, 10, Takeoff from UAV customer 10, Traveling 
2, UAV, UAV travels empty, 958.181963, 10, 1009.220230, 4, Fly to truck at customer 4, Traveling 
2, UAV, UAV is stationary without a parcel, 1009.220230, 4, 1022.699808, 4, Idle above rendezvous location (customer 4), Idle 
2, UAV, UAV taking off or landing with no parcels, 1022.699808, 4, 1029.091055, 4, Land at truck rendezvous location (customer 4), Traveling 
2, UAV, UAV is stationary without a parcel, 1029.091055, 4, 1059.091055, 4, Recovered by truck at customer 4, UAV Recovery 
2, UAV, UAV is stationary with a parcel, 1059.091055, 4, 1119.091055, 4, Prepare to launch from truck, UAV Launch 
2, UAV, UAV taking off or landing with a parcel, 1119.091055, 4, 1122.786678, 4, Takeoff from truck at Customer 4, Traveling 
2, UAV, UAV travels with parcel, 1122.786678, 4, 1154.704218, 2, Fly to UAV customer 2, Traveling 
2, UAV, UAV taking off or landing with a parcel, 1154.704218, 2, 1161.095464, 2, Land at UAV customer 2, Traveling 
2, UAV, UAV is stationary with a parcel, 1161.095464, 2, 1221.095464, 2, Serving UAV customer 2, Making Delivery 
2, UAV, UAV taking off or landing with no parcels, 1221.095464, 2, 1224.791088, 2, Takeoff from UAV customer 2, Traveling 
2, UAV, UAV travels empty, 1224.791088, 2, 1315.240836, 1, Fly to truck at customer 1, Traveling 
2, UAV, UAV is stationary without a parcel, 1315.240836, 1, 1377.670729, 1, Idle above rendezvous location (customer 1), Idle 
2, UAV, UAV taking off or landing with no parcels, 1377.670729, 1, 1384.061976, 1, Land at truck rendezvous location (customer 1), Traveling 
2, UAV, UAV is stationary without a parcel, 1384.061976, 1, 1414.061976, 1, Recovered by truck at customer 1, UAV Recovery 
problemName, vehicleFileID, cutoffTime, problemTypeString, numUAVs, numTrucks, requireTruckAtDepot, requireDriver, Etype, ITER 
20170608T122048564577, 101, 5.000000, mFSTSP Heuristic, 1, -1, True, True, 1, 1 

Objective Function Value: 1502.062866 

Assignments: 
vehicleID,vehicleType,activityType,startTime,startNode,endTime,endNode,Description,Status
1,Truck,Truck travels with UAV(s) on board,0.0,0,44.468869,5,Travel from node 0 to node 5,Traveling
1,Truck,Truck is stationary with UAV(s) on board,44.468869,5,74.468869,5,Dropping off package to Customer 5,Making Delivery
1,Truck,Truck travels with UAV(s) on board,74.468869,5,196.991157,7,Travel from node 5 to node 7,Traveling
1,Truck,Truck is stationary with UAV(s) on board,196.9911569999395,7,256.9911569999395,7,Launching UAV 2,UAV Launch
1,Truck,Truck is stationary with UAV(s) on board,256.9911569999395,7,286.9911569999395,7,Dropping off package to Customer 7,Making Delivery
1,Truck,Truck travels with no UAVs on board,286.9911569999395,7,564.4125189999395,6,Travel from node 7 to node 6,Traveling
